=====[Train] Iter: 499 | Loss: 0.4158 | Accuracy: 0.818522 =====
=====[Train] Iter: 999 | Loss: 0.3872 | Accuracy: 0.862956 =====
=====[Train] Iter: 1499 | Loss: 0.9071 | Accuracy: 0.476237 =====
=====[Train] Iter: 1999 | Loss: 0.7320 | Accuracy: 0.677246 =====
[Eval] Iter: 500 | Acc: 0.7069 | 2025-02-14 17:46:05.360907
[Eval] Iter: 1000 | Acc: 0.5060 | 2025-02-14 17:47:34.040460
[Eval] Iter: 1500 | Acc: 0.7526 | 2025-02-14 17:48:47.884143
[Eval] Iter: 2000 | Acc: 0.7860 | 2025-02-14 17:50:18.603917
[Eval] Iter: 2500 | Acc: 0.7166 | 2025-02-14 17:52:05.594351
[Eval] Iter: 3000 | Acc: 0.9079 | 2025-02-14 17:53:52.717789
[Eval] Iter: 3500 | Acc: 0.6530 | 2025-02-14 17:55:31.788575
[Eval] Iter: 4000 | Acc: 0.6180 | 2025-02-14 17:57:00.719065
[Eval] Iter: 4500 | Acc: 0.7186 | 2025-02-14 17:58:29.743808
[Eval] Iter: 5000 | Acc: 0.7113 | 2025-02-14 17:59:58.522683
[Eval] Iter: 5500 | Acc: 0.7319 | 2025-02-14 18:01:27.714537
[Eval] Iter: 6000 | Acc: 0.7261 | 2025-02-14 18:02:56.506792
[Eval] Iter: 6500 | Acc: 0.7739 | 2025-02-14 18:04:25.343387
[Eval] Iter: 7000 | Acc: 0.7573 | 2025-02-14 18:05:54.362866
[Eval] Iter: 7500 | Acc: 0.7254 | 2025-02-14 18:07:23.380938
[Eval] Iter: 8000 | Acc: 0.5571 | 2025-02-14 18:08:52.299585
[Eval] Iter: 8500 | Acc: 0.8146 | 2025-02-14 18:10:21.329355
[Eval] Iter: 9000 | Acc: 0.6206 | 2025-02-14 18:11:49.808212
[Eval] Iter: 9500 | Acc: 0.6076 | 2025-02-14 18:13:18.556359
[Eval] Iter: 10000 | Acc: 0.6818 | 2025-02-14 18:14:47.790007
[Eval] Iter: 10500 | Acc: 0.5353 | 2025-02-14 18:16:16.801288
[Eval] Iter: 11000 | Acc: 0.8237 | 2025-02-14 18:17:23.241177
[Eval] Iter: 11500 | Acc: 0.7936 | 2025-02-14 18:19:10.779255
[Eval] Iter: 12000 | Acc: 0.7674 | 2025-02-14 18:20:58.072163
*****Test Classes: [10, 6, 7, 19, 3, 13, 12, 5, 14, 2]*****

=====[Valid]  Mean IoU: 0.538083 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.538083 =====
=====Best Valid IoU Is: 0.538083 =====
=====[Train] Iter: 2499 | Loss: 0.4858 | Accuracy: 0.802083 =====
=====[Train] Iter: 2999 | Loss: 0.6866 | Accuracy: 0.644368 =====
=====[Train] Iter: 3499 | Loss: 0.2881 | Accuracy: 0.891927 =====
