=====[Train] Iter: 499 | Loss: 0.5427 | Accuracy: 0.789062 =====
=====[Train] Iter: 999 | Loss: 0.6860 | Accuracy: 0.706217 =====
=====[Train] Iter: 1499 | Loss: 0.3572 | Accuracy: 0.886230 =====
=====[Train] Iter: 1999 | Loss: 0.4059 | Accuracy: 0.849121 =====
[Eval] Iter: 500 | Acc: 0.6735 | 2025-02-14 22:16:19.758308
[Eval] Iter: 1000 | Acc: 0.6868 | 2025-02-14 22:17:08.378571
[Eval] Iter: 1500 | Acc: 0.7555 | 2025-02-14 22:17:57.013005
[Eval] Iter: 2000 | Acc: 0.6787 | 2025-02-14 22:18:45.675850
[Eval] Iter: 2500 | Acc: 0.8123 | 2025-02-14 22:19:34.351129
[Eval] Iter: 3000 | Acc: 0.6331 | 2025-02-14 22:20:22.991439
[Eval] Iter: 3500 | Acc: 0.8433 | 2025-02-14 22:21:11.605929
[Eval] Iter: 4000 | Acc: 0.5851 | 2025-02-14 22:22:00.242231
[Eval] Iter: 4500 | Acc: 0.8125 | 2025-02-14 22:22:48.942183
[Eval] Iter: 5000 | Acc: 0.9390 | 2025-02-14 22:23:37.602401
[Eval] Iter: 5500 | Acc: 0.7209 | 2025-02-14 22:24:26.225285
[Eval] Iter: 6000 | Acc: 0.6629 | 2025-02-14 22:25:14.914342
[Eval] Iter: 6500 | Acc: 0.6351 | 2025-02-14 22:26:03.607408
[Eval] Iter: 7000 | Acc: 0.7778 | 2025-02-14 22:26:52.252884
[Eval] Iter: 7500 | Acc: 0.7861 | 2025-02-14 22:27:40.922082
[Eval] Iter: 8000 | Acc: 0.5173 | 2025-02-14 22:28:29.555530
[Eval] Iter: 8500 | Acc: 0.4648 | 2025-02-14 22:29:18.229715
[Eval] Iter: 9000 | Acc: 0.8241 | 2025-02-14 22:30:06.858589
[Eval] Iter: 9500 | Acc: 0.6574 | 2025-02-14 22:30:55.555459
[Eval] Iter: 10000 | Acc: 0.6807 | 2025-02-14 22:31:44.254076
[Eval] Iter: 10500 | Acc: 0.6816 | 2025-02-14 22:32:32.954163
[Eval] Iter: 11000 | Acc: 0.7241 | 2025-02-14 22:33:21.591972
[Eval] Iter: 11500 | Acc: 0.7627 | 2025-02-14 22:34:10.223639
[Eval] Iter: 12000 | Acc: 0.6478 | 2025-02-14 22:34:58.865901
*****Test Classes: [10, 6, 7, 19, 3, 13, 12, 5, 14, 2]*****

=====[Valid]  Mean IoU: 0.550851 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.550851 =====
=====Best Valid IoU Is: 0.550851 =====
=====[Train] Iter: 2499 | Loss: 0.6572 | Accuracy: 0.775065 =====
=====[Train] Iter: 2999 | Loss: 0.2647 | Accuracy: 0.954427 =====
=====[Train] Iter: 3499 | Loss: 0.6518 | Accuracy: 0.731120 =====
=====[Train] Iter: 3999 | Loss: 0.3136 | Accuracy: 0.896159 =====
[Eval] Iter: 500 | Acc: 0.7349 | 2025-02-14 22:40:12.285220
[Eval] Iter: 1000 | Acc: 0.6896 | 2025-02-14 22:41:04.063624
[Eval] Iter: 1500 | Acc: 0.7052 | 2025-02-14 22:41:56.055187
[Eval] Iter: 2000 | Acc: 0.6108 | 2025-02-14 22:42:48.159746
[Eval] Iter: 2500 | Acc: 0.8084 | 2025-02-14 22:43:40.082323
