=====[Train] Iter: 499 | Loss: 0.5736 | Accuracy: 0.736654 =====
[Eval] Iter: 5500 | Acc: 0.9023 | 2025-02-15 10:24:00.185817
[Eval] Iter: 6000 | Acc: 0.7808 | 2025-02-15 10:24:39.564547
[Eval] Iter: 6500 | Acc: 0.7409 | 2025-02-15 10:25:18.910898
[Eval] Iter: 7000 | Acc: 0.7568 | 2025-02-15 10:25:58.259634
[Eval] Iter: 7500 | Acc: 0.8216 | 2025-02-15 10:26:37.603453
[Eval] Iter: 8000 | Acc: 0.8564 | 2025-02-15 10:27:16.961321
[Eval] Iter: 8500 | Acc: 0.7028 | 2025-02-15 10:27:56.338796
[Eval] Iter: 9000 | Acc: 0.8861 | 2025-02-15 10:28:35.688376
[Eval] Iter: 9500 | Acc: 0.9080 | 2025-02-15 10:29:15.037953
[Eval] Iter: 10000 | Acc: 0.9575 | 2025-02-15 10:29:54.420642
[Eval] Iter: 10500 | Acc: 0.5874 | 2025-02-15 10:30:33.776885
[Eval] Iter: 11000 | Acc: 0.9150 | 2025-02-15 10:31:13.126884
[Eval] Iter: 11500 | Acc: 0.7922 | 2025-02-15 10:31:52.484519
[Eval] Iter: 12000 | Acc: 0.8590 | 2025-02-15 10:32:31.849033
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.624280 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.624280 =====
=====Best Valid IoU Is: 0.624280 =====
=====[Train] Iter: 6499 | Loss: 0.4222 | Accuracy: 0.845378 =====
=====[Train] Iter: 6999 | Loss: 0.5726 | Accuracy: 0.794271 =====
=====[Train] Iter: 7499 | Loss: 0.4235 | Accuracy: 0.812012 =====
=====[Train] Iter: 7999 | Loss: 0.5013 | Accuracy: 0.839518 =====
[Eval] Iter: 500 | Acc: 0.8849 | 2025-02-15 10:39:59.165095
[Eval] Iter: 1000 | Acc: 0.8467 | 2025-02-15 10:40:38.522492
[Eval] Iter: 1500 | Acc: 0.9329 | 2025-02-15 10:41:17.884876
[Eval] Iter: 2000 | Acc: 0.8874 | 2025-02-15 10:41:57.242085
[Eval] Iter: 2500 | Acc: 0.7835 | 2025-02-15 10:42:36.589283
[Eval] Iter: 3000 | Acc: 0.8818 | 2025-02-15 10:43:15.941349
[Eval] Iter: 3500 | Acc: 0.7170 | 2025-02-15 10:43:55.306038
[Eval] Iter: 4000 | Acc: 0.9009 | 2025-02-15 10:44:34.680603
[Eval] Iter: 4500 | Acc: 0.7062 | 2025-02-15 10:45:14.037901
[Eval] Iter: 5000 | Acc: 0.8929 | 2025-02-15 10:45:53.384832
[Eval] Iter: 5500 | Acc: 0.9204 | 2025-02-15 10:46:32.730485
[Eval] Iter: 6000 | Acc: 0.8994 | 2025-02-15 10:47:12.106533
[Eval] Iter: 6500 | Acc: 0.7702 | 2025-02-15 10:47:51.488322
[Eval] Iter: 7000 | Acc: 0.7537 | 2025-02-15 10:48:30.835058
[Eval] Iter: 7500 | Acc: 0.8617 | 2025-02-15 10:49:10.176863
[Eval] Iter: 8000 | Acc: 0.9049 | 2025-02-15 10:49:49.531603
[Eval] Iter: 8500 | Acc: 0.7515 | 2025-02-15 10:50:28.905234
[Eval] Iter: 9000 | Acc: 0.9014 | 2025-02-15 10:51:08.287309
[Eval] Iter: 9500 | Acc: 0.9489 | 2025-02-15 10:51:47.622050
[Eval] Iter: 10000 | Acc: 0.9482 | 2025-02-15 10:52:27.032608
[Eval] Iter: 10500 | Acc: 0.5277 | 2025-02-15 10:53:06.383388
