=====[Train] Iter: 499 | Loss: 0.7251 | Accuracy: 0.653646 =====
=====[Train] Iter: 999 | Loss: 0.6242 | Accuracy: 0.704427 =====
=====[Train] Iter: 1499 | Loss: 0.8076 | Accuracy: 0.624349 =====
=====[Train] Iter: 1999 | Loss: 0.5203 | Accuracy: 0.771810 =====
[Eval] Iter: 500 | Acc: 0.9067 | 2025-02-14 14:17:38.278071
[Eval] Iter: 1000 | Acc: 0.5835 | 2025-02-14 14:19:01.771207
[Eval] Iter: 1500 | Acc: 0.6434 | 2025-02-14 14:20:16.649380
[Eval] Iter: 2000 | Acc: 0.8390 | 2025-02-14 14:21:30.658468
[Eval] Iter: 2500 | Acc: 0.7000 | 2025-02-14 14:22:45.789694
[Eval] Iter: 3000 | Acc: 0.8332 | 2025-02-14 14:23:52.406305
[Eval] Iter: 3500 | Acc: 0.6398 | 2025-02-14 14:25:15.365037
[Eval] Iter: 4000 | Acc: 0.5732 | 2025-02-14 14:26:38.440133
[Eval] Iter: 4500 | Acc: 0.7402 | 2025-02-14 14:28:03.422294
[Eval] Iter: 5000 | Acc: 0.7288 | 2025-02-14 14:29:26.509289
[Eval] Iter: 5500 | Acc: 0.5851 | 2025-02-14 14:30:47.316854
[Eval] Iter: 6000 | Acc: 0.2249 | 2025-02-14 14:32:12.744954
[Eval] Iter: 6500 | Acc: 0.7223 | 2025-02-14 14:33:33.523951
[Eval] Iter: 7000 | Acc: 0.8766 | 2025-02-14 14:34:47.984561
[Eval] Iter: 7500 | Acc: 0.6825 | 2025-02-14 14:36:03.258476
[Eval] Iter: 8000 | Acc: 0.7931 | 2025-02-14 14:37:18.296262
[Eval] Iter: 8500 | Acc: 0.7438 | 2025-02-14 14:38:31.849776
[Eval] Iter: 9000 | Acc: 0.8542 | 2025-02-14 14:39:54.681066
[Eval] Iter: 9500 | Acc: 0.8659 | 2025-02-14 14:41:18.485976
[Eval] Iter: 10000 | Acc: 0.7575 | 2025-02-14 14:42:42.052469
[Eval] Iter: 10500 | Acc: 0.8670 | 2025-02-14 14:44:05.135592
[Eval] Iter: 11000 | Acc: 0.7526 | 2025-02-14 14:45:30.685880
[Eval] Iter: 11500 | Acc: 0.7987 | 2025-02-14 14:46:53.033497
[Eval] Iter: 12000 | Acc: 0.8835 | 2025-02-14 14:48:05.624360
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.500853 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.500853 =====
=====Best Valid IoU Is: 0.500853 =====
=====[Train] Iter: 2499 | Loss: 0.4877 | Accuracy: 0.825521 =====
=====[Train] Iter: 2999 | Loss: 0.3983 | Accuracy: 0.861328 =====
=====[Train] Iter: 3499 | Loss: 0.5390 | Accuracy: 0.789714 =====
=====[Train] Iter: 3999 | Loss: 0.3718 | Accuracy: 0.898438 =====
[Eval] Iter: 500 | Acc: 0.9010 | 2025-02-14 14:56:16.219670
[Eval] Iter: 1000 | Acc: 0.7259 | 2025-02-14 14:57:24.666672
[Eval] Iter: 1500 | Acc: 0.8382 | 2025-02-14 14:58:33.037529
[Eval] Iter: 2000 | Acc: 0.8377 | 2025-02-14 14:59:41.279182
[Eval] Iter: 2500 | Acc: 0.7153 | 2025-02-14 15:00:49.686977
[Eval] Iter: 3000 | Acc: 0.8962 | 2025-02-14 15:01:58.016779
[Eval] Iter: 3500 | Acc: 0.6310 | 2025-02-14 15:03:01.954865
[Eval] Iter: 4000 | Acc: 0.7091 | 2025-02-14 15:04:04.108347
[Eval] Iter: 4500 | Acc: 0.6618 | 2025-02-14 15:05:06.235258
[Eval] Iter: 5000 | Acc: 0.7539 | 2025-02-14 15:06:08.409288
[Eval] Iter: 5500 | Acc: 0.4702 | 2025-02-14 15:07:10.572308
[Eval] Iter: 6000 | Acc: 0.6701 | 2025-02-14 15:08:06.704170
[Eval] Iter: 6500 | Acc: 0.8341 | 2025-02-14 15:09:15.236975
[Eval] Iter: 7000 | Acc: 0.8286 | 2025-02-14 15:10:23.868726
[Eval] Iter: 7500 | Acc: 0.8037 | 2025-02-14 15:11:32.592392
[Eval] Iter: 8000 | Acc: 0.6743 | 2025-02-14 15:12:41.325706
[Eval] Iter: 8500 | Acc: 0.7370 | 2025-02-14 15:13:50.014855
[Eval] Iter: 9000 | Acc: 0.8540 | 2025-02-14 15:14:58.752991
[Eval] Iter: 9500 | Acc: 0.8029 | 2025-02-14 15:16:07.525194
[Eval] Iter: 10000 | Acc: 0.8910 | 2025-02-14 15:17:16.184429
[Eval] Iter: 10500 | Acc: 0.9180 | 2025-02-14 15:18:20.463802
[Eval] Iter: 11000 | Acc: 0.7262 | 2025-02-14 15:19:22.565548
[Eval] Iter: 11500 | Acc: 0.7992 | 2025-02-14 15:20:24.717167
[Eval] Iter: 12000 | Acc: 0.8620 | 2025-02-14 15:21:26.867777
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.588867 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.588867 =====
=====Best Valid IoU Is: 0.588867 =====
=====[Train] Iter: 4499 | Loss: 0.3747 | Accuracy: 0.864583 =====
=====[Train] Iter: 4999 | Loss: 0.7788 | Accuracy: 0.666341 =====
=====[Train] Iter: 5499 | Loss: 0.4426 | Accuracy: 0.802409 =====
=====[Train] Iter: 5999 | Loss: 0.4659 | Accuracy: 0.799642 =====
[Eval] Iter: 500 | Acc: 0.9386 | 2025-02-14 15:29:57.549037
[Eval] Iter: 1000 | Acc: 0.7329 | 2025-02-14 15:31:06.260365
[Eval] Iter: 1500 | Acc: 0.9276 | 2025-02-14 15:32:14.982118
[Eval] Iter: 2000 | Acc: 0.8620 | 2025-02-14 15:33:23.712991
[Eval] Iter: 2500 | Acc: 0.7671 | 2025-02-14 15:34:27.469697
[Eval] Iter: 3000 | Acc: 0.9126 | 2025-02-14 15:35:29.722083
[Eval] Iter: 3500 | Acc: 0.6484 | 2025-02-14 15:36:31.895345
[Eval] Iter: 4000 | Acc: 0.6823 | 2025-02-14 15:37:34.063688
[Eval] Iter: 4500 | Acc: 0.7269 | 2025-02-14 15:38:36.227790
[Eval] Iter: 5000 | Acc: 0.6261 | 2025-02-14 15:39:32.473247
[Eval] Iter: 5500 | Acc: 0.5996 | 2025-02-14 15:40:41.247096
[Eval] Iter: 6000 | Acc: 0.7215 | 2025-02-14 15:41:50.045004
[Eval] Iter: 6500 | Acc: 0.8651 | 2025-02-14 15:42:58.930768
[Eval] Iter: 7000 | Acc: 0.8421 | 2025-02-14 15:44:07.639619
[Eval] Iter: 7500 | Acc: 0.8613 | 2025-02-14 15:45:16.324540
[Eval] Iter: 8000 | Acc: 0.6343 | 2025-02-14 15:46:25.068203
[Eval] Iter: 8500 | Acc: 0.6844 | 2025-02-14 15:47:33.761977
[Eval] Iter: 9000 | Acc: 0.9268 | 2025-02-14 15:48:42.536070
[Eval] Iter: 9500 | Acc: 0.9015 | 2025-02-14 15:49:46.486928
[Eval] Iter: 10000 | Acc: 0.9261 | 2025-02-14 15:50:48.632508
[Eval] Iter: 10500 | Acc: 0.9556 | 2025-02-14 15:51:50.834495
[Eval] Iter: 11000 | Acc: 0.7747 | 2025-02-14 15:52:52.987543
[Eval] Iter: 11500 | Acc: 0.8049 | 2025-02-14 15:53:55.211003
[Eval] Iter: 12000 | Acc: 0.9229 | 2025-02-14 15:54:51.587606
*****Test Classes: [20, 18, 17, 16, 9, 8, 4, 11, 1, 15]*****

=====[Valid]  Mean IoU: 0.619536 =====

*******************Model Saved*******************
=====Mean Valid IoU Is: 0.619536 =====
=====Best Valid IoU Is: 0.619536 =====
=====[Train] Iter: 6499 | Loss: 0.3723 | Accuracy: 0.896647 =====
=====[Train] Iter: 6999 | Loss: 0.4853 | Accuracy: 0.773438 =====
=====[Train] Iter: 7499 | Loss: 0.3316 | Accuracy: 0.896810 =====
=====[Train] Iter: 7999 | Loss: 0.4011 | Accuracy: 0.821777 =====
[Eval] Iter: 500 | Acc: 0.9437 | 2025-02-14 16:03:30.033067
[Eval] Iter: 1000 | Acc: 0.6982 | 2025-02-14 16:04:38.792868
[Eval] Iter: 1500 | Acc: 0.8527 | 2025-02-14 16:05:44.026567
[Eval] Iter: 2000 | Acc: 0.8726 | 2025-02-14 16:06:46.066326
[Eval] Iter: 2500 | Acc: 0.7980 | 2025-02-14 16:07:48.126189
[Eval] Iter: 3000 | Acc: 0.7459 | 2025-02-14 16:08:50.457344
[Eval] Iter: 3500 | Acc: 0.5884 | 2025-02-14 16:09:52.702519
